実質季節調整系列(寄与度),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,"(単位:％,％pt)",,,,
"Real, Seasonally Adjusted Series (Contributions to Quarter-to-Quarter Percent Change in GDP)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,"(%,%pt)",,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
1994/ 1- 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4- 6.,-0.8 ,0.2 ,0.2 ,0.2 ,0.2 ,-0.2 ,-1.5 ,0.2 ,0.2 ,0.2 ,-0.1 ,0.1 ,-0.1 ,,-0.1 ,-0.9 ,-0.1 ,-0.0 ,-0.1 ,-0.9 ,,-0.7 ,-1.2 ,0.5 ,,0.2 ,,0.5 ,,,,
7- 9.,1.0 ,0.4 ,0.4 ,0.4 ,0.5 ,-0.1 ,0.5 ,0.1 ,-0.3 ,0.0 ,-0.0 ,0.2 ,-0.2 ,,-0.1 ,0.9 ,0.0 ,0.1 ,-0.1 ,0.9 ,,1.0 ,1.2 ,-0.2 ,,0.0 ,,0.5 ,,,,
10-12.,-0.4 ,0.0 ,0.0 ,-0.0 ,-0.3 ,0.2 ,-0.2 ,0.0 ,-0.1 ,0.0 ,-0.0 ,0.0 ,-0.1 ,,0.1 ,-0.3 ,0.0 ,0.1 ,-0.1 ,-0.3 ,,-0.3 ,-0.2 ,-0.1 ,,-0.2 ,,-0.2 ,,,,
1995/ 1- 3.,1.0 ,0.4 ,0.4 ,0.3 ,-0.2 ,0.2 ,0.7 ,0.4 ,-0.3 ,-0.2 ,-0.1 ,0.1 ,-0.2 ,,0.1 ,1.0 ,0.0 ,0.1 ,-0.0 ,1.0 ,,1.1 ,1.2 ,-0.1 ,,-0.3 ,,0.4 ,,,,
4- 6.,0.9 ,0.5 ,0.5 ,0.4 ,-0.1 ,0.5 ,-0.2 ,-0.0 ,0.3 ,0.1 ,-0.1 ,0.1 ,-0.2 ,,0.1 ,1.0 ,-0.2 ,-0.2 ,0.0 ,0.9 ,,1.0 ,0.6 ,0.4 ,,0.7 ,,1.1 ,,,,
