財務省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外貨準備等の状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Reserves/Foreign Currency Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：百万ドル）　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（US$ millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ｉ．外貨準備及びその他外貨資産,,,,,,,,,,,,,,,,,,,,,,II．短期の外貨建債務等,,,,,,,,,,,,,,,,,,,,,III．短期の外貨建偶発債務等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV．メモ項目,,,,,,,,,,,,,,,,,,
,,,,I. Official reserve assets and other foreign currency assets,,,,,,,,,,,,,,,,,,,,,,II. Predetermined short-term net drains on foreign currency assets,,,,,,,,,,,,,,,,,,,,,III. Contingent short-term net drains on foreign currency assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV. Memo items ,,,,,,,,,,,,,,,,,,
,,,,Ａ．外貨準備,,,,,,,,,,,,,,,,,,Ｂ．その他外貨資産,,,,１．外貨建貸付/借入及び外貨建債券,,,,２．対円での外貨の為替先渡及び為替先物のポジションの合計 ,,,,,,,,,,,,３．その他,,,,,１．外貨建偶発債務,,,,,,,,,,,,２．償還オプション付外貨建債券,,,,３．無条件の信用枠（未使用分）,,,,,,,,,,,,,,,,４．無条件の信用枠（未使用分）,,,,,,,,,,,,,,,,５．対円での外貨のオプションのポジションの合計 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1) 月次更新計数,,,,,,,,,,,,,,,,(2) 上記以外の計数,,
,,,,A. Official reserve assets,,,,,,,,,,,,,,,,,,B. Other foreign currency assets,,,,1. Foreign currency loans and securities,,,,2.   Aggregate short and long positions in forwards and futures in foreign currencies vis-? vis Yen,,,,,,,,,,,,3. Other,,,,,1. Contingent liabilities in foreign currency,,,,,,,,,,,,2. Foreign currency securities issued with embedded options,,,,"3. Undrawn, unconditional credit lines provided by:",,,,,,,,,,,,,,,,"4. Undrawn, unconditional credit lines provided to:",,,,,,,,,,,,,,,,5.  Aggregate short and long positions of options in foreign currencies vis-? vis Yen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(1) To be reported with standard periodicity and timeliness: ,,,,,,,,,,,,,,,,(2) To be disclosed less frequently:,,
,,,,,１．外貨,,,,,,,,,２．IMFリザーブポジション,３．SDR,４．金,,５．その他外貨準備,,,,,国際協力銀行に対する貸付（額面）,IMFに対する貸付,,,,,,,,,,(a) ショートポジション,,,,(b) ロングポジション,,,,,,,,,,,,,(a) 1年以内に満期の到来する債務に対する保証 ,,,,(b) その他の外貨建偶発債務,,,,,,,,,,,,(a) 外国中央銀行、BIS、IMF及びその他国際金融機関からの信用枠,,,,(b) 本邦金融機関からの信用枠,,,,(c) 外国金融機関からの信用枠,,,,,,,,(a) 外国中央銀行、BIS、IMF及びその他国際金融機関に対する信用枠,,,,(b) 本邦金融機関に対する信用枠,,,,(c) 外国金融機関に対する信用枠,,,,,,,,(a) ショートポジション,,,,,,,,,,,,(b) ロングポジション,,,,,,,,,,,,,(a) 為替相場に価値がリンクした短期円建債務,(b) 外貨資産のうち円など他の取引手段で決済されるもの,(c) 担保に入れられている資産,(d) 貸出及びレポに出されている債券,,,,,(e) デリバティブ資産（ネット、時価評価),,,,,,(f)　残存期間が１年超のデリバティブ（為替先渡、先物又はオプション契約） ,,(a) 外貨準備の通貨別構成,,
,,,,,(1) Foreign currency reserves,,,,,,,,,(2) IMF reserve position,(3) SDRs,(4) Gold,,(5) other reserve assets,,,,,loans to The Japan Bank for International Cooperation (JBIC),loans to the IMF,,,,,,,,,,(a) Short positions(-),,,,(b) Long positions (+),,,,,,,,,,,,,(a) Collateral guarantees on debt falling due within 1 year,,,,(b) Other contingent liabilities,,,,,,,,,,,,"(a) other national monetary authorities, BIS, IMF, and other international organizations",,,,(b) banks and other financial institutions headquartered in Japan,,,,(c) banks and other financial institutions headquartered outside Japan,,,,,,,,"(a) other national monetary authorities, BIS, IMF, and other international organizations",,,,(b) banks and other financial institutions headquartered in Japan,,,,(c) banks and other financial institutions headquartered outside Japan,,,,,,,,(a) Short positions,,,,,,,,,,,,(b) Long positions,,,,,,,,,,,,,(a) short-term domestic currency debt indexed to the exchange rate ,"(b)  financial instruments denominated in foreign currency and settled by other means(e.g., in Yen) ",(c) pledged assets,(d) securities lent and on repo,,,,,"(e) financial derivative assets(net, marked to market)",,,,,,"(f)　derivatives(forward, futures, or options contracts)that have a residual maturity greater than one year. ",,(a) currency composition of reserves (by groups of currencies),,
,,,,,,(a) 証券,,(b) 預金,,,,,,,,,（重量［百万トロイオンス］）,,(a) 金融派生商品,(b) 非銀行非居住者に対する貸付,(c) その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(ｉ) プットの買い,,,,(ii) コールの売り,,,,,,,,(ｉ) コールの買い,,,,(ii) プットの売り,,,,,,,,,貸出またはレポに出されており、「Ⅰ．外貨準備及びその他外貨資産」に含まれるもの,貸出またはレポに出されており、「Ⅰ．外貨準備及びその他外貨資産」に含まれないもの,借入または担保として取得しており、「Ⅰ．外貨準備及びその他外貨資産」に含まれるもの,借入または担保として取得しており、「Ⅰ．外貨準備及びその他外貨資産」に含まれないもの,,フォワード,フューチャー,スワップ,オプション,その他,,,,SDRﾊﾞｽｹｯﾄを構成している通貨建の資産,上記通貨以外の通貨建の資産
,,,,,,(a) Securities,,(b) Deposits with,,,,,,,,,(volume [in million fine troy ounces]),,(a) Financial derivatives,(b) Loans to nonbank nonresidents,(c) Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(i) Bought puts,,,,(ii) Written calls,,,,,,,,(i) Bought calls,,,,(ii) Written puts,,,,,,,,,lent or repoed and included in Section I,lent or repoed but not included in Section I,borrowed or acquired and included in Section I,borrowed or acquired but not included in Section I,,forwards,futures,swaps,options,other,,,,currencies in SDR basket,currencies not in SDR basket
,,,,,,,,,ｉ．外国中央銀行及びＢＩＳへの預金,ii．本邦金融機関への預金,,iii．外国金融機関への預金,,,,,,,,,,,,,,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,合計,1ヶ月以内,1ヶ月超3ヶ月以内,3ヶ月超1年以内,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(i) Foreign central banks and BIS,(ii) Banks headquartered in Japan,,(iii) Banks headquartered outside Japan,,,,,,,,,,,,,,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,Total,Up to 1 month,More than 1 month and up to 3 months,More than 3 months and up to 1 year,,,,,,,,,,,,,,,,,,,,
,,,,,,,うち：本邦発行体分,,,,うち：海外拠点分,,うち：本邦内拠点分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
